Sentence #,Word,POS,Tag
Sentence: 1,kdlasjkaksd,NN,per
,vendor1234,NN,per
,ServeIT,NN,per
,vendors123,NN,per
,vendor23das,NN,per
,fsgdsfds,NN,per
,VENDOE,NN,per
,vendore789,NN,per
,vendorno123,NN,per
,vendoerfdsklj,NN,per
,vendortest1,NN,per
,vendor1234,NN,per
,ServeIT,NN,per
,VENDOE,NN,per
,vendors123,NN,per
,vendoerfdsklj,NN,per
,vendor23das,NN,per
,fsgdsfds,NN,per
,vendorno123,NN,per
,kdlasjkaksd,NN,per
,vendore789,NN,per
,vendortest1,NN,per
,vendor1234,NN,per
,vendor23das,NN,per
,vendorno123,NN,per
,vendors123,NN,per
,vendore789,NN,per
,VENDOE,NN,per
,vendortest1,NN,per
,fsgdsfds,NN,per
,vendoerfdsklj,NN,per
,kdlasjkaksd,NN,per
,ServeIT,NN,per
,vendore789,NN,per
,kdlasjkaksd,NN,per
,fsgdsfds,NN,per
,vendor1234,NN,per
,vendorno123,NN,per
,vendortest1,NN,per
,vendors123,NN,per
,ServeIT,NN,per
,vendor23das,NN,per
,VENDOE,NN,per
,vendoerfdsklj,NN,per
,vendors123,NN,per
,vendor1234,NN,per
,fsgdsfds,NN,per
,VENDOE,NN,per
,ServeIT,NN,per
,vendortest1,NN,per
,kdlasjkaksd,NN,per
,vendorno123,NN,per
,vendore789,NN,per
,vendoerfdsklj,NN,per
,vendor23das,NN,per
,vendors123,NN,per
,fsgdsfds,NN,per
,vendorno123,NN,per
,VENDOE,NN,per
,vendore789,NN,per
,kdlasjkaksd,NN,per
,vendoerfdsklj,NN,per
,vendortest1,NN,per
,vendor1234,NN,per
,vendor23das,NN,per
,ServeIT,NN,per
,ServeIT,NN,per
,vendors123,NN,per
,kdlasjkaksd,NN,per
,vendor23das,NN,per
,vendorno123,NN,per
,vendor1234,NN,per
,vendoerfdsklj,NN,per
,vendore789,NN,per
,fsgdsfds,NN,per
,VENDOE,NN,per
,vendortest1,NN,per
,vendor1234,NN,per
,vendortest1,NN,per
,fsgdsfds,NN,per
,vendore789,NN,per
,kdlasjkaksd,NN,per
,vendors123,NN,per
,vendor23das,NN,per
,VENDOE,NN,per
,ServeIT,NN,per
,vendorno123,NN,per
,vendoerfdsklj,NN,per
,vendoerfdsklj,NN,per
,kdlasjkaksd,NN,per
,VENDOE,NN,per
,vendor23das,NN,per
,vendore789,NN,per
,vendortest1,NN,per
,fsgdsfds,NN,per
,vendors123,NN,per
,vendorno123,NN,per
,vendor1234,NN,per
,ServeIT,NN,per
,vendorno123,NN,per
,kdlasjkaksd,NN,per
,vendors123,NN,per
,VENDOE,NN,per
,vendortest1,NN,per
,vendore789,NN,per
